rank,ticker,name,bucket,tag,composite,class,F1_rev_per_emp,F2_op_margin,F3_gross_margin,F4_emp_density,F5_fcf_drag,rev_per_emp_$,op_margin,gross_margin,employees,revenue_$M,market_cap_$M,rev_growth,how
1,TTEC,"TTEC Holdings, Inc.",CX BPO,CS_INTENSITY,100.0,PRIME,96.8,84.4,70.3,96.8,,44467.0,4.1,23.5,47200,2099.0,134.0,-7.1,Most-exposed name on Earth — direct voice-agent substitution
2,CNDT,Conduent Incorporated,CX BPO,CS_INTENSITY,100.0,PRIME,93.6,93.8,76.6,93.6,,62792.0,-0.6,18.4,48000,3014.0,292.0,-3.7,Conduent — same
3,IBEX,IBEX Limited,CX BPO,CS_INTENSITY,96.7,PRIME,100.0,64.8,58.6,100.0,91.1,17415.0,9.8,29.9,36000,627.0,429.0,16.8,Small-cap BPO
4,CNXC,Concentrix Corporation,CX BPO,CS_INTENSITY,96.5,PRIME,99.2,74.2,49.2,99.2,,21877.0,6.2,34.4,455000,9954.0,1607.0,5.4,"Concentrix — $9B revenue, ~440K employees — extreme labor leverage"
5,DXC,DXC Technology Company,IT Services,LABOR_PCT,95.6,PRIME,90.4,96.1,68.8,90.4,1.1,109948.0,-2.2,24.0,115000,12644.0,1553.0,-1.2,Legacy IT outsourcing; ticket triage and L1/L2 support fully agent-able
6,KD,"Kyndryl Holdings, Inc.",IT Services,LABOR_PCT,93.9,PRIME,,82.0,71.9,,,,4.5,21.8,,15092.0,2771.0,-0.8,IBM infra-services spinoff; managed infra ops automatable
7,CTSH,Cognizant Technology Solutions Corporation,IT Services,LABOR_PCT,90.3,PRIME,95.2,48.4,50.8,95.2,78.9,59860.0,15.6,33.5,357600,21406.0,24951.0,5.8,76% of revenue is labor; agentic coding compresses billable hours and SOW delivery time
8,EPAM,"EPAM Systems, Inc.",IT Services,LABOR_PCT,88.2,PRIME,92.0,66.4,60.2,92.0,18.9,88533.0,9.5,29.1,62750,5555.0,5365.0,7.6,53% labor; offshore-heavy delivery model directly substituted by code-gen agents
9,G,Genpact Limited,BPO,BPO,86.4,PRIME,97.6,49.2,46.1,97.6,40.0,35593.0,15.4,36.3,145000,5161.0,5409.0,6.7,"Transactional F&A BPO — invoice processing, AR/AP automation"
10,EXLS,"ExlService Holdings, Inc.",BPO,BPO,85.7,PRIME,98.4,46.9,40.6,98.4,44.4,33185.0,16.0,38.5,65000,2157.0,4509.0,13.8,Analytics + claims BPO; insurance back-office heavy
11,INFY,Infosys Limited,IT Services,LABOR_PCT,84.7,PRIME,94.4,31.2,59.4,94.4,66.7,61346.0,20.9,29.5,328594,20158.0,51276.0,6.6,Indian-IT model — application maintenance + BPO directly automatable
12,GLOB,Globant S.A.,IT Services,BILL_HOURS,83.7,PRIME,92.8,70.3,47.7,92.8,16.7,85966.0,8.5,34.9,28510,2451.0,1733.0,-0.7,Digital engineering services; code-gen displaces a chunk of dev hours
13,CBRE,"CBRE Group, Inc.",RE Services,KNOW_WORKER,83.3,PRIME,74.4,89.8,75.0,74.4,84.4,272271.0,2.7,18.5,155000,42202.0,38379.0,18.6,Brokerage labor + property mgmt admin
14,ICLR,ICON Public Limited Company,CRO,LABOR_PCT,81.6,PRIME,83.2,57.0,62.5,83.2,27.8,203583.0,12.7,28.2,39800,8103.0,9082.0,0.6,Late-stage CRO
15,GOCO,"GoHealth, Inc.",Insurance Marketplace,CS_INTENSITY,81.3,PRIME,85.6,,21.1,85.6,,179749.0,-292.0,57.3,850,153.0,19.0,-94.6,Same as EHTH
16,GXO,"GXO Logistics, Inc.",Logistics,BACKOFFICE,81.0,PRIME,89.6,90.6,79.7,89.6,15.6,128562.0,2.6,15.4,105000,13499.0,5461.0,10.8,Warehouse ops + admin
17,CWK,Cushman & Wakefield Limited,RE Services,KNOW_WORKER,81.0,PRIME,84.0,91.4,77.3,84.0,6.7,198857.0,2.3,18.2,53000,10539.0,3020.0,11.0,Cushman & Wakefield
18,IQV,IQVIA Holdings Inc.,CRO,LABOR_PCT,80.3,PRIME,86.4,53.1,51.6,86.4,26.7,178839.0,13.6,33.0,93000,16632.0,28023.0,8.4,45% labor (Goldman); clinical-trial data mgmt + monitoring
19,ACN,Accenture plc,IT Services,BILL_HOURS,79.7,PRIME,91.2,52.3,54.7,91.2,24.4,91743.0,13.8,32.0,786000,72110.0,110311.0,8.3,"Knowledge-worker pyramid; AI replaces first-year analyst/associate work, expands pricing"
20,JLL,Jones Lang LaSalle Incorporated,RE Services,KNOW_WORKER,79.5,PRIME,79.2,88.3,28.9,79.2,96.7,236776.0,3.3,51.1,113000,26756.0,13533.0,11.1,Same
21,CRL,"Charles River Laboratories International, Inc.",CRO,LABOR_PCT,79.4,PRIME,80.8,47.7,48.4,80.8,,220057.0,15.9,34.5,18300,4027.0,7721.0,1.2,Preclinical CRO — lab labor
22,LAUR,"Laureate Education, Inc.",Higher Ed,BACKOFFICE,78.8,PRIME,96.0,,45.3,96.0,43.3,57946.0,-10.1,37.0,30000,1738.0,4636.0,15.4,Laureate — back-office admin
23,HURN,Huron Consulting Group Inc.,Consulting,KNOW_WORKER,76.3,PRIME,81.6,68.0,53.1,81.6,68.9,214152.0,9.3,32.6,7989,1711.0,1710.0,12.1,Healthcare/education consulting
24,XPO,"XPO, Inc.",LTL/Logistics,BACKOFFICE,75.4,PRIME,80.0,68.8,74.2,80.0,71.1,224297.0,8.8,18.6,37000,8299.0,23825.0,7.3,Dispatch + appointment scheduling
25,EHTH,"eHealth, Inc.",Insurance Marketplace,CS_INTENSITY,74.4,GOOD,67.2,85.2,0.0,67.2,97.8,317662.0,4.0,100.0,1665,529.0,50.0,-22.2,High agent labor; AI displaces ACA navigators
26,OMC,Omnicom Group Inc.,Ad Agency,KNOW_WORKER,74.1,GOOD,88.8,59.4,75.8,88.8,0.0,165203.0,11.9,18.4,120000,19824.0,21356.0,69.2,Knowledge-worker model; AI creative tooling cuts headcount
27,CACI,CACI International Inc,Gov IT Services,BILL_HOURS,73.9,GOOD,62.4,65.6,53.9,62.4,85.6,339365.0,9.7,32.6,27000,9163.0,11075.0,8.5,Government IT services; same SOW pyramid
28,LDOS,"Leidos Holdings, Inc.",Gov IT Services,BILL_HOURS,73.1,GOOD,58.4,57.8,78.1,58.4,82.2,346580.0,12.2,17.9,50000,17329.0,15850.0,3.7,Defense + civil IT services
29,RHI,Robert Half Inc.,Staffing,LABOR_PCT,72.8,GOOD,52.8,89.1,43.8,52.8,54.4,367364.0,2.8,37.2,14500,5327.0,2794.0,-3.8,79% labor; matching + screening = textbook agentic workflow
30,ICFI,"ICF International, Inc.",Gov Consulting,KNOW_WORKER,72.2,GOOD,76.0,72.7,44.5,76.0,58.9,261436.0,8.0,37.2,6972,1823.0,1248.0,-10.3,Federal IT/consulting
31,SCI,Service Corporation International,Funeral Services,BACKOFFICE,69.9,GOOD,88.0,28.1,65.6,88.0,90.0,173261.0,22.1,26.2,25000,4332.0,10678.0,2.1,Service Corp — admin back office
32,WIT,Wipro Limited,IT Services,LABOR_PCT,69.0,GOOD,,41.4,67.2,,83.3,,17.1,25.4,,926240.0,21075.0,7.7,Same offshore IT model as INFY; high billable-hour share
33,EVH,"Evolent Health, Inc.",Health Tech,CLAIMS_INTENS,68.8,GOOD,43.2,95.3,72.7,43.2,,449720.0,-2.0,20.2,4200,1889.0,444.0,2.6,Value-based care admin — claims + analytics
34,FITB,Fifth Third Bancorp,Regional Bank,BACKOFFICE,68.5,GOOD,59.2,73.4,91.4,59.2,,346420.0,8.0,,25980,9000.0,44844.0,33.0,Same
35,KFY,Korn Ferry,Executive Search,KNOW_WORKER,67.7,GOOD,68.8,58.6,68.0,68.8,52.2,309061.0,12.2,24.8,9253,2860.0,3530.0,7.3,Search + consulting hybrid; AI screens candidates
36,BAH,Booz Allen Hamilton Holding Corporation,Gov Consulting,KNOW_WORKER,66.2,GOOD,56.8,67.2,71.1,56.8,72.2,356095.0,9.5,22.4,31500,11217.0,9422.0,-6.5,Government consulting; knowledge-worker model
37,HUBG,"Hub Group, Inc.",Freight Broker,CS_INTENSITY,66.2,GOOD,29.6,83.6,82.8,29.6,94.4,564638.0,4.2,11.4,6604,3729.0,2535.0,-5.3,Same
38,ROL,"Rollins, Inc.",Pest Control,BACKOFFICE,65.6,GOOD,87.2,46.1,26.6,87.2,64.4,174771.0,16.1,52.6,22000,3845.0,25739.0,10.2,Dispatch + scheduling labor
39,FIS,"Fidelity National Information Services, Inc.",Bank Tech,BACKOFFICE,64.1,GOOD,76.8,45.3,46.9,76.8,73.3,260000.0,16.4,36.3,44000,11440.0,22515.0,30.1,Same — payments + bank ops automation
40,AJG,Arthur J. Gallagher & Co.,Insurance Broker,BACKOFFICE,63.6,GOOD,84.8,25.0,38.3,84.8,92.2,196178.0,28.4,42.9,72373,14198.0,52609.0,34.6,Mid-market broker
41,MAN,ManpowerGroup Inc.,Staffing,LABOR_PCT,63.3,GOOD,24.8,93.0,78.9,24.8,,723512.0,1.0,16.4,25400,18377.0,1366.0,10.3,Global staffing; high SG&A on branch-network labor
42,WTW,Willis Towers Watson Public Limited Company,Insurance Broker,KNOW_WORKER,62.5,GOOD,82.4,33.6,39.1,82.4,41.1,210574.0,20.5,42.4,47000,9897.0,24311.0,8.5,Same + HR consulting
43,LRN,"Stride, Inc.",K-12 Education,KNOW_WORKER,61.2,GOOD,70.4,32.0,41.4,70.4,88.9,294845.0,20.8,38.4,8600,2536.0,3769.0,2.7,Stride — virtual instruction labor
44,MDRX,Veradigm Inc.,Health IT,BACKOFFICE,60.0,GOOD,78.4,43.0,27.3,78.4,,240007.0,16.6,52.5,2450,588.0,516.0,5.0,EHR/admin software; AI scribe + agentic billing
45,NMRK,"Newmark Group, Inc.",RE Services,KNOW_WORKER,58.8,MIXED,55.2,86.7,0.8,55.2,65.6,361984.0,3.4,100.0,9600,3475.0,3638.0,27.2,Newmark
46,EXPD,"Expeditors International of Washington, Inc.",Freight Forwarder,CS_INTENSITY,57.5,MIXED,30.4,62.5,81.2,30.4,70.0,549362.0,10.6,13.6,20361,11186.0,20728.0,4.4,Door-to-door coordination — call center heavy
47,TRI,Thomson Reuters Corporation,Legal/Info,KNOW_WORKER,55.5,MIXED,72.8,21.9,39.8,72.8,50.0,282768.0,30.3,39.5,27100,7663.0,37481.0,9.8,Westlaw + CoCounsel agent — both sides of the trade
48,NICE,NICE Ltd.,CCaaS Software,BACKOFFICE,55.4,MIXED,68.0,43.8,20.3,68.0,74.4,313092.0,16.5,65.8,9626,3014.0,5521.0,9.8,Contact-center software building the AI layer (beneficiary side)
49,FCN,"FTI Consulting, Inc.",Consulting,KNOW_WORKER,55.1,MIXED,37.6,69.5,55.5,37.6,80.0,474164.0,8.5,31.9,8170,3874.0,4645.0,9.5,FTI consulting — expert witness + restructuring; document review automatable
50,WLY,"John Wiley & Sons, Inc.",Publishing,KNOW_WORKER,54.8,MIXED,66.4,44.5,11.7,66.4,61.1,321378.0,16.4,74.1,5200,1671.0,2173.0,1.3,Academic content; AI summarization
51,STRA,"Strategic Education, Inc.",Education Services,KNOW_WORKER,54.7,MIXED,60.8,51.6,30.5,60.8,42.2,344979.0,14.1,49.3,3683,1271.0,1784.0,0.8,Strategic Education — admin + course-development labor
52,RELX,RELX PLC,Legal/Info,KNOW_WORKER,54.0,MIXED,75.2,20.3,19.5,75.2,57.8,268477.0,31.4,66.3,35720,9590.0,58353.0,1.2,LexisNexis — same
53,Z,"Zillow Group, Inc.",Real Estate,CS_INTENSITY,53.7,MIXED,48.8,78.1,12.5,48.8,8.9,381553.0,5.1,73.3,7058,2693.0,8315.0,18.4,Zillow — listings + leads ops
54,C,Citigroup Inc.,Money Center Bank,BACKOFFICE,53.3,MIXED,57.6,18.0,97.7,57.6,,351491.0,34.1,,224000,78734.0,213351.0,15.9,Restructuring + AI ops modernization
55,WK,Workiva Inc.,Compliance SW,BACKOFFICE,53.1,MIXED,65.6,75.0,7.8,65.6,3.3,321387.0,6.2,79.4,2880,926.0,2823.0,19.9,Workiva — disclosure mgmt automation
56,KFRC,Kforce Inc.,Staffing,LABOR_PCT,52.9,MIXED,21.6,85.9,64.1,21.6,22.2,830839.0,3.6,27.3,1600,1329.0,741.0,0.1,Tech-focused staffing
57,AON,Aon plc,Insurance Broker,BACKOFFICE,52.7,MIXED,71.2,15.6,33.6,71.2,81.1,291433.0,35.8,47.3,60000,17486.0,69366.0,6.5,Same
58,TYL,"Tyler Technologies, Inc.",Gov Software,BACKOFFICE,52.7,MIXED,69.6,42.2,35.2,69.6,21.1,309059.0,17.0,46.8,7703,2381.0,12887.0,8.6,"Building the AI tools, but heavy implementation staff"
59,HBAN,Huntington Bancshares Incorporated,Regional Bank,BACKOFFICE,52.3,MIXED,63.2,6.2,93.0,63.2,,336756.0,40.7,,24641,8298.0,32272.0,33.6,Same
60,CHRW,"C.H. Robinson Worldwide, Inc.",Freight Broker,CS_INTENSITY,51.9,MIXED,13.6,79.7,85.9,13.6,55.6,1383935.0,4.9,8.6,11705,16199.0,20537.0,-0.8,Brokerage labor (load matching + quoting) — direct AI substitution
61,JKHY,"Jack Henry & Associates, Inc.",Bank Tech,BACKOFFICE,51.8,MIXED,61.6,26.6,37.5,61.6,87.8,344615.0,24.4,44.1,7300,2516.0,9961.0,8.7,Community-bank back-office software
62,RNG,"RingCentral, Inc.",CCaaS Software,BACKOFFICE,50.4,MIXED,60.0,71.1,14.8,60.0,4.4,345254.0,8.2,71.6,7378,2547.0,3651.0,5.3,RingCentral — AI-native call center push
63,HUBS,"HubSpot, Inc.",Marketing Software,BACKOFFICE,50.1,MIXED,53.6,87.5,5.5,53.6,5.6,365605.0,3.3,83.7,9021,3298.0,10339.0,23.4,HubSpot — Breeze AI agents
64,PCTY,Paylocity Holding Corporation,HR Tech,BACKOFFICE,50.0,MIXED,77.6,21.1,16.4,77.6,34.4,257810.0,31.3,69.4,6700,1727.0,6052.0,10.5,Mid-market HR — implementation & support staff
65,PBI,Pitney Bowes Inc.,Doc Processing,BACKOFFICE,49.4,MIXED,72.0,27.3,24.2,72.0,28.9,284337.0,23.4,54.1,6600,1877.0,2065.0,-3.2,Pitney Bowes — mail/doc workflow legacy
66,WFC,Wells Fargo & Company,Money Center Bank,BACKOFFICE,49.3,MIXED,48.0,23.4,96.9,48.0,,403659.0,29.4,,200999,81135.0,233798.0,5.7,Branch + back office
67,AMG,"Affiliated Managers Group, Inc.",Asset Mgmt,KNOW_WORKER,49.0,MIXED,50.4,28.9,31.2,50.4,95.6,379054.0,22.1,49.3,5600,2123.0,7975.0,9.7,Same
